Contestant,Total score,Jury score,Televoting score,Ukraine,United Kingdom,Luxembourg,Azerbaijan,San Marino,Malta,Croatia,Albania,Czechia,Israel,Australia,Denmark,Norway,Germany,Armenia,Spain,Austria,France,Georgia,Switzerland,Greece,Estonia,Netherlands,Italy,Finland,Portugal,Belgium,Iceland,Latvia,Ireland,Poland,Cyprus,Lithuania,Serbia,Sweden,Slovenia,Rest of the World
Switzerland,591,365,226,10,12,12,12,12,12,10,12,12,8,12,12,12,10,12,12,12,8,12,12,12,12,12,12,12,12,12,12,12,12,12,8,12,12,12,12,12
Croatia,547,210,337,12,8,10,8,7,7,12,10,6,10,10,7,8,8,7,7,8,6,7,10,10,8,7,6,10,7,8,10,10,7,6,12,10,12,8,10,12
Ukraine,453,146,307,12,2,7,12,7,10,7,10,4,12,2,6,1,5,10,1,10,6,8,3,1,12,12,4,7,1,7,10,8,10,12,10,12,5,7,7,10
France,445,218,227,8,7,8,10,6,8,12,8,8,7,8,8,10,12,12,10,10,12,10,8,8,10,8,10,10,8,12,8,8,8,8,10,8,10,10,12,8
Israel,375,52,323,1,8,3,,1,2,3,,1,12,,1,,12,,4,,3,,2,1,2,,4,,5,,3,,,8,8,3,2,3,4,
Ireland,278,142,136,7,6,1,7,10,6,6,7,12,10,12,10,7,6,10,6,7,10,5,5,7,6,6,5,6,5,6,6,7,5,7,6,7,6,6,6
Italy,268,164,104,6,5,6,6,8,10,8,8,5,6,6,5,5,7,8,8,6,7,6,7,6,7,5,7,6,7,6,7,6,7,6,7,6,7,6,7
Armenia,183,101,82,5,3,4,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Sweden,174,125,49,4,4,5,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Portugal,152,139,13,3,1,3,3,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Greece,126,41,85,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,117,99,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,103,83,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,90,32,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,78,34,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,64,36,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,54,22,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,46,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,38,7,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,37,4,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,34,15,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,30,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,27,15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,24,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,16,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
