Contestant,Total score,Jury score,Televoting score
Austria,436,258,178
Israel,357,60,297
Estonia,356,98,258
Sweden,321,126,195
Italy,256,159,97
Greece,231,105,126
France,230,180,50
Albania,218,45,173
Ukraine,218,60,158
Switzerland,214,214,0
Finland,196,88,108
Netherlands,175,133,42
Latvia,158,116,42
Poland,156,17,139
Germany,151,77,74
Lithuania,96,34,62
Malta,91,83,8
Norway,89,22,67
United Kingdom,88,88,0
Armenia,72,42,30
Portugal,50,37,13
Luxembourg,47,23,24
Denmark,47,45,2
Spain,37,27,10
Iceland,33,0,33
San Marino,27,9,18
